As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327141,Information and communications,provide IT Training to MCIT and other staff at Kabul.,08/10/2012 12:00:00 AM,KARDAN INSTITUTE OF HIGHER EDUCATION,Afghanistan,AF,"$204,082.00 ",C3.4.1 IT TRAINING
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327142,Information and communications,provide IT Training to MCIT and other staff at Kabul.,08/10/2012 12:00:00 AM,INFOTECH PRIVATE LIMITED,Pakistan,PK,"$215,054.00 ",C3.4.2 IT TRAINING
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P121755,Afghanistan ICT Sector Development Proje,ICT/Telecommunications Services,Consultant Services,CQS,IBRD/IDA,1327143,Information and communications,provide IT Training to MCIT and other staff at Kabul.,08/10/2012 12:00:00 AM,RANA TECHNOLGOIES ENTERPRISES,Afghanistan,AF,"$204,082.00 ",C3.4.3 IT TRAINING
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1327186,"Public Administration, Law, and Justice","Financial Management Specialist
CBR-PSU
Contract period :",09/05/2012 12:00:00 AM,SULIMAN AHMAD,Afghanistan,AF,"$52,499.00 ",CBR-CONT/IARCSC/02/09-2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P119047,Financial Sector Rapid Response Project,Policy and Strategy,Consultant Services,Individual,IBRD/IDA,1328091,Finance,Technical Assistance to DAB on Procurement Process for Payme,07/22/2012 12:00:00 AM,ABIB GAYA,Afghanistan,AF,"$98,088.00 ",DAB/FSRRP/C-3
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P119047,Financial Sector Rapid Response Project,"Tender Documents, Procurement Assistance",Consultant Services,Individual,IBRD/IDA,1328094,Finance,International Procurement Specialist,10/09/2012 12:00:00 AM,MOSES JENKINS,Afghanistan,AF,"$60,169.00 ",DAB/FSRRP/C-7
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326054,"Public Administration, Law, and Justice","Technical Deputy Director General, Afghanistan National Stan",08/01/2012 12:00:00 AM,MUJUBURRAHMAN KHATEER,Afghanistan,AF,"$158,004.00 ",SMG/001/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326055,"Public Administration, Law, and Justice","Director, Administration & Finance, Afghanistan National Sta",08/01/2012 12:00:00 AM,ATIQULLAH ASEFI,Afghanistan,AF,"$86,822.00 ",SMG/002/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326056,"Public Administration, Law, and Justice","Director, Provincial Relations, Afghanistan National Standar",08/01/2012 12:00:00 AM,MOHAMMAD AMAN IBRAHIMI,Afghanistan,AF,"$86,822.00 ",SMG/003/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326059,"Public Administration, Law, and Justice","Director, Policy & Planning, Afghanistan National Standard A",08/01/2012 12:00:00 AM,MOHAMMAD AFZAL HAIDER,Afghanistan,AF,"$86,822.00 ",SMG/004/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326108,"Public Administration, Law, and Justice","Director, Assets Registration, High Office of Oversight for",08/01/2012 12:00:00 AM,NADER MUHSENI,Afghanistan,AF,"$97,936.00 ",SMG/007/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326111,"Public Administration, Law, and Justice","Director, Monitoring & Evaluation, Office of Administrative",08/01/2012 12:00:00 AM,MOHAMADAGUL KOCHAI,Afghanistan,AF,"$86,822.00 ",SMG/009/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326112,"Public Administration, Law, and Justice","Director, Human Resources, Ministry of Womenâ€™s Affairs",08/01/2012 12:00:00 AM,FAIZAN AHMAD,Afghanistan,AF,"$94,636.00 ",SMG/010/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326113,"Public Administration, Law, and Justice","Director, Human Resources, Ministry of Transportation & Civi",08/01/2012 12:00:00 AM,ABDUL WAKIL SEDIQI,Afghanistan,AF,"$90,295.00 ",SMG/011/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326114,"Public Administration, Law, and Justice","President, Foreign Affairs, Ministry of Transportation & Civ",08/01/2012 12:00:00 AM,YALDA NATIQ,Afghanistan,AF,"$86,822.00 ",SMG/012/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326131,"Public Administration, Law, and Justice","Advisor to Minister of Urbanization Affairs, Ministry of Urb",08/01/2012 12:00:00 AM,A. WASSAY BACHARYAR,Afghanistan,AF,"$106,791.00 ",SMG/013/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326234,"Public Administration, Law, and Justice","Director, Urban Water Sanitation, Environment & Health Prote",08/01/2012 12:00:00 AM,HUSSAIN ETEMADI,Afghanistan,AF,"$86,822.00 ",SMG/014/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326235,"Public Administration, Law, and Justice","Director, Planning, Ministry of Rural Rehabilitation & Devel",08/01/2012 12:00:00 AM,MOHAMMAD NAIM,Afghanistan,AF,"$131,970.00 ",SMG/015/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326117,"Public Administration, Law, and Justice","Director, Human Resources, Ministry of Public Works",08/01/2012 12:00:00 AM,AHMAD HUMAYON HAZIM,Afghanistan,AF,"$109,396.00 ",SMG/016/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326119,"Public Administration, Law, and Justice","Director, Quality Control, Ministry of Public Works",08/01/2012 12:00:00 AM,AHMAD HIRJAT SHINWARI,Afghanistan,AF,"$104,621.00 ",SMG/017/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326121,"Public Administration, Law, and Justice","Director, Finance, Ministry of Mines",08/01/2012 12:00:00 AM,MOHAMMAD EBRAHIM EBRAHIMI,Afghanistan,AF,"$156,280.00 ",SMG/019/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326237,"Public Administration, Law, and Justice","Director, Legal Services, Ministry of Mines",08/01/2012 12:00:00 AM,SAYED ZAMAN HASHIMI,Afghanistan,AF,"$120,264.00 ",SMG/021/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326126,"Public Administration, Law, and Justice","Director, Hydrocarbon Survey, Ministry of Mines",08/01/2012 12:00:00 AM,QUTBUDDIN QAEYM,Afghanistan,AF,"$86,822.00 ",SMG/022/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326127,"Public Administration, Law, and Justice","Director General, Human Resources & Labor Management, Minist",08/01/2012 12:00:00 AM,KHAIR MOHAMMAD NIRU,Afghanistan,AF,"$121,551.00 ",SMG/023/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326238,"Public Administration, Law, and Justice","Director General, Pension, Ministry of Labor, Social Affairs",08/01/2012 12:00:00 AM,SAID NAIM SADAT,Afghanistan,AF,"$123,367.00 ",SMG/024/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326129,"Public Administration, Law, and Justice","Director, Human Resources, Ministry of Labor, Social Affairs",08/01/2012 12:00:00 AM,JAWAID HAQ SAMADEY,Afghanistan,AF,"$120,162.00 ",SMG/025/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326061,"Public Administration, Law, and Justice","Director General, Programsâ€?Design & Management, Independent",08/01/2012 12:00:00 AM,MR. ROHULLAH OSMANI,Afghanistan,AF,"$228,179.00 ",SMG/026/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326130,"Public Administration, Law, and Justice","Director, Policy & Planning, Ministry of Justice",08/01/2012 12:00:00 AM,SHAH WALI ATAYE,Afghanistan,AF,"$86,822.00 ",SMG/027/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326239,"Public Administration, Law, and Justice","Director, Human Resources, Ministry of Justice",08/01/2012 12:00:00 AM,NAJIBULLAH JAMI,Afghanistan,AF,"$91,163.00 ",SMG/028/2012
12/18/2012 12:00:00 AM,2013,SOUTH ASIA,Afghanistan,AF,P123845,AF: Capacity Blding for Results Facility,Institution building,Consultant Services,Individual,Recipient Executed Activities,1326270,"Public Administration, Law, and Justice","Director General, Budget, Min of Finance",08/01/2012 12:00:00 AM,AHMAD JAVED JALALI,Afghanistan,AF,"$259,199.00 ",SMG/030/2012
